MessageSize;DictFileSize;ChunkSize;ComputationTime
4;10000;4;0.001
4;10000;5;0.001
4;10000;6;0.000
4;10000;7;0.000
4;10000;8;0.000
4;10000;9;0.000
4;10000;10;0.000
4;10000;12;0.000
4;10000;15;0.000
4;10000;20;0.000
4;10000;25;0.000
4;10000;30;0.000
4;10000;35;0.000
4;10000;40;0.000
4;10000;45;0.000
4;10000;50;0.000
4;50000;4;0.001
4;50000;5;0.001
4;50000;6;0.000
4;50000;7;0.000
4;50000;8;0.000
4;50000;9;0.000
4;50000;10;0.000
4;50000;12;0.000
4;50000;15;0.000
4;50000;20;0.000
4;50000;25;0.000
4;50000;30;0.000
4;50000;35;0.000
4;50000;40;0.000
4;50000;45;0.000
4;50000;50;0.000
4;100000;4;0.001
4;100000;5;0.001
4;100000;6;0.001
4;100000;7;0.000
4;100000;8;0.000
4;100000;9;0.000
4;100000;10;0.000
4;100000;12;0.000
4;100000;15;0.000
4;100000;20;0.000
4;100000;25;0.000
4;100000;30;0.000
4;100000;35;0.000
4;100000;40;0.000
4;100000;45;0.000
4;100000;50;0.000
4;200000;4;0.001
4;200000;5;0.001
4;200000;6;0.000
4;200000;7;0.000
4;200000;8;0.000
4;200000;9;0.000
4;200000;10;0.000
4;200000;12;0.000
4;200000;15;0.000
4;200000;20;0.000
4;200000;25;0.000
4;200000;30;0.000
4;200000;35;0.000
4;200000;40;0.000
4;200000;45;0.000
4;200000;50;0.000
4;500000;4;0.001
4;500000;5;0.001
4;500000;6;0.000
4;500000;7;0.000
4;500000;8;0.000
4;500000;9;0.000
4;500000;10;0.000
4;500000;12;0.000
4;500000;15;0.000
4;500000;20;0.000
4;500000;25;0.000
4;500000;30;0.000
4;500000;35;0.000
4;500000;40;0.000
4;500000;45;0.000
4;500000;50;0.000
4;1000000;4;0.001
4;1000000;5;0.001
4;1000000;6;0.001
4;1000000;7;0.000
4;1000000;8;0.000
4;1000000;9;0.000
4;1000000;10;0.000
4;1000000;12;0.000
4;1000000;15;0.000
4;1000000;20;0.000
4;1000000;25;0.000
4;1000000;30;0.000
4;1000000;35;0.000
4;1000000;40;0.000
4;1000000;45;0.000
4;1000000;50;0.000
4;2000000;4;0.001
4;2000000;5;0.001
4;2000000;6;0.000
4;2000000;7;0.000
4;2000000;8;0.000
4;2000000;9;0.000
4;2000000;10;0.000
4;2000000;12;0.000
4;2000000;15;0.000
4;2000000;20;0.000
4;2000000;25;0.000
4;2000000;30;0.000
4;2000000;35;0.000
4;2000000;40;0.000
4;2000000;45;0.000
4;2000000;50;0.000
4;4000000;4;0.001
4;4000000;5;0.001
4;4000000;6;0.000
4;4000000;7;0.000
4;4000000;8;0.000
4;4000000;9;0.000
4;4000000;10;0.000
4;4000000;12;0.000
4;4000000;15;0.000
4;4000000;20;0.000
4;4000000;25;0.000
4;4000000;30;0.000
4;4000000;35;0.000
4;4000000;40;0.000
4;4000000;45;0.000
4;4000000;50;0.000
8;10000;4;0.002
8;10000;5;0.002
8;10000;6;0.001
8;10000;7;0.001
8;10000;8;0.001
8;10000;9;0.001
8;10000;10;0.001
8;10000;12;0.000
8;10000;15;0.000
8;10000;20;0.000
8;10000;25;0.000
8;10000;30;0.000
8;10000;35;0.000
8;10000;40;0.000
8;10000;45;0.000
8;10000;50;0.000
8;50000;4;0.002
8;50000;5;0.002
8;50000;6;0.001
8;50000;7;0.001
8;50000;8;0.001
8;50000;9;0.001
8;50000;10;0.001
8;50000;12;0.000
8;50000;15;0.000
8;50000;20;0.000
8;50000;25;0.000
8;50000;30;0.000
8;50000;35;0.000
8;50000;40;0.000
8;50000;45;0.000
8;50000;50;0.000
8;100000;4;0.002
8;100000;5;0.002
8;100000;6;0.001
8;100000;7;0.001
8;100000;8;0.001
8;100000;9;0.001
8;100000;10;0.001
8;100000;12;0.001
8;100000;15;0.000
8;100000;20;0.000
8;100000;25;0.000
8;100000;30;0.000
8;100000;35;0.000
8;100000;40;0.000
8;100000;45;0.000
8;100000;50;0.000
8;200000;4;0.002
8;200000;5;0.002
8;200000;6;0.001
8;200000;7;0.001
8;200000;8;0.001
8;200000;9;0.001
8;200000;10;0.001
8;200000;12;0.000
8;200000;15;0.000
8;200000;20;0.000
8;200000;25;0.000
8;200000;30;0.000
8;200000;35;0.000
8;200000;40;0.000
8;200000;45;0.000
8;200000;50;0.000
8;500000;4;0.002
8;500000;5;0.002
8;500000;6;0.001
8;500000;7;0.001
8;500000;8;0.001
8;500000;9;0.001
8;500000;10;0.001
8;500000;12;0.000
8;500000;15;0.000
8;500000;20;0.000
8;500000;25;0.000
8;500000;30;0.000
8;500000;35;0.000
8;500000;40;0.000
8;500000;45;0.000
8;500000;50;0.000
8;1000000;4;0.002
8;1000000;5;0.002
8;1000000;6;0.001
8;1000000;7;0.001
8;1000000;8;0.001
8;1000000;9;0.001
8;1000000;10;0.001
8;1000000;12;0.001
8;1000000;15;0.000
8;1000000;20;0.000
8;1000000;25;0.000
8;1000000;30;0.000
8;1000000;35;0.000
8;1000000;40;0.000
8;1000000;45;0.000
8;1000000;50;0.000
8;2000000;4;0.002
8;2000000;5;0.002
8;2000000;6;0.002
8;2000000;7;0.001
8;2000000;8;0.001
8;2000000;9;0.001
8;2000000;10;0.001
8;2000000;12;0.001
8;2000000;15;0.000
8;2000000;20;0.000
8;2000000;25;0.000
8;2000000;30;0.000
8;2000000;35;0.000
8;2000000;40;0.000
8;2000000;45;0.000
8;2000000;50;0.000
8;4000000;4;0.003
8;4000000;5;0.002
8;4000000;6;0.001
8;4000000;7;0.001
8;4000000;8;0.001
8;4000000;9;0.001
8;4000000;10;0.001
8;4000000;12;0.001
8;4000000;15;0.000
8;4000000;20;0.000
8;4000000;25;0.000
8;4000000;30;0.000
8;4000000;35;0.000
8;4000000;40;0.000
8;4000000;45;0.000
8;4000000;50;0.000
10;10000;4;0.003
