MessageSize;DictFileSize;ChunkSize;ComputationTime
4;10000;4;1.302
4;10000;5;1.042
4;10000;6;0.870
4;10000;7;0.741
4;10000;8;0.648
4;10000;9;0.577
4;10000;10;0.519
4;10000;12;0.433
4;10000;15;0.346
4;10000;20;0.260
4;10000;25;0.207
4;10000;30;0.175
4;10000;35;0.149
4;10000;40;0.131
4;10000;45;0.116
4;10000;50;0.103
4;50000;4;2.122
4;50000;5;1.699
4;50000;6;1.418
4;50000;7;1.228
4;50000;8;1.066
4;50000;9;0.944
4;50000;10;0.849
4;50000;12;0.708
4;50000;15;0.569
4;50000;20;0.426
4;50000;25;0.340
4;50000;30;0.285
4;50000;35;0.244
4;50000;40;0.215
4;50000;45;0.191
4;50000;50;0.169
4;100000;4;2.121
4;100000;5;1.698
4;100000;6;1.417
4;100000;7;1.212
4;100000;8;1.060
4;100000;9;0.945
4;100000;10;0.849
4;100000;12;0.708
4;100000;15;0.569
4;100000;20;0.426
4;100000;25;0.339
4;100000;30;0.286
4;100000;35;0.244
4;100000;40;0.215
4;100000;45;0.190
4;100000;50;0.170
4;200000;4;2.121
4;200000;5;1.697
4;200000;6;1.417
4;200000;7;1.213
4;200000;8;1.060
4;200000;9;0.945
4;200000;10;0.849
4;200000;12;0.708
4;200000;15;0.568
4;200000;20;0.426
4;200000;25;0.339
4;200000;30;0.286
4;200000;35;0.248
4;200000;40;0.215
4;200000;45;0.192
4;200000;50;0.170
4;500000;4;2.119
4;500000;5;1.697
4;500000;6;1.415
4;500000;7;1.214
4;500000;8;1.059
4;500000;9;0.944
4;500000;10;0.850
4;500000;12;0.709
4;500000;15;0.568
4;500000;20;0.426
4;500000;25;0.340
4;500000;30;0.285
4;500000;35;0.244
4;500000;40;0.215
4;500000;45;0.191
4;500000;50;0.169
4;1000000;4;2.121
4;1000000;5;1.698
4;1000000;6;1.416
4;1000000;7;1.213
4;1000000;8;1.061
4;1000000;9;0.944
4;1000000;10;0.849
4;1000000;12;0.708
4;1000000;15;0.567
4;1000000;20;0.427
4;1000000;25;0.339
4;1000000;30;0.286
4;1000000;35;0.244
4;1000000;40;0.215
4;1000000;45;0.190
4;1000000;50;0.169
4;2000000;4;2.121
4;2000000;5;1.699
4;2000000;6;1.415
4;2000000;7;1.215
4;2000000;8;1.059
4;2000000;9;0.944
4;2000000;10;0.850
4;2000000;12;0.709
4;2000000;15;0.568
4;2000000;20;0.426
4;2000000;25;0.339
4;2000000;30;0.285
4;2000000;35;0.244
4;2000000;40;0.215
4;2000000;45;0.192
4;2000000;50;0.169
4;4000000;4;2.123
4;4000000;5;1.702
4;4000000;6;1.417
4;4000000;7;1.214
4;4000000;8;1.061
4;4000000;9;0.946
4;4000000;10;0.851
4;4000000;12;0.710
4;4000000;15;0.568
4;4000000;20;0.428
4;4000000;25;0.339
4;4000000;30;0.286
4;4000000;35;0.245
4;4000000;40;0.215
4;4000000;45;0.190
4;4000000;50;0.169
8;10000;4;2.590
8;10000;5;2.074
8;10000;6;1.728
8;10000;7;1.482
8;10000;8;1.296
8;10000;9;1.154
8;10000;10;1.037
8;10000;12;0.866
8;10000;15;0.693
8;10000;20;0.519
8;10000;25;0.415
8;10000;30;0.347
8;10000;35;0.298
8;10000;40;0.260
8;10000;45;0.234
8;10000;50;0.207
8;50000;4;4.244
8;50000;5;3.400
8;50000;6;2.830
8;50000;7;2.429
8;50000;8;2.121
8;50000;9;1.897
8;50000;10;1.700
8;50000;12;1.417
8;50000;15;1.136
8;50000;20;0.850
8;50000;25;0.681
8;50000;30;0.568
8;50000;35;0.490
8;50000;40;0.427
8;50000;45;0.387
8;50000;50;0.356
8;100000;4;4.247
8;100000;5;3.401
8;100000;6;2.832
8;100000;7;2.430
8;100000;8;2.123
8;100000;9;1.890
8;100000;10;1.700
8;100000;12;1.421
8;100000;15;1.161
8;100000;20;0.852
8;100000;25;0.681
8;100000;30;0.568
8;100000;35;0.489
8;100000;40;0.427
8;100000;45;0.381
8;100000;50;0.339
8;200000;4;4.244
8;200000;5;3.398
8;200000;6;2.837
8;200000;7;2.429
8;200000;8;2.122
8;200000;9;1.890
